"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-01 ~ 2026-06-30"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"237","경기도 성남시 수정구 태평동","3***","8m미만","20.00","월세","202606","28","1,000","30","1991","남문로57번길","202606~202806","갱신","-","1,000","25","단독다가구"
"238","대구광역시 북구 산격동","8**","12m미만","66.00","전세","202606","28","3,200","0","1993","연암공원로1길","202606~202806","갱신","-","3,200","0","단독다가구"
"239","대전광역시 중구 중촌동","4**","12m미만","50.00","월세","202606","28","8,000","25","2014","목중로4번길","202607~202807","갱신","-","8,000","20","단독다가구"
"240","서울특별시 성북구 상월곡동","5*","8m미만","33.00","전세","202606","28","4,700","0","1991","화랑로15가길","202606~202806","갱신","-","4,500","0","단독다가구"
"241","경기도 고양시 일산서구 덕이동","4**","8m미만","53.09","전세","202606","28","9,000","0","2004","탄중로67번길","202607~202807","갱신","-","8,400","0","단독다가구"
"242","경기도 평택시 고덕동","2***","12m미만","45.56","월세","202606","28","500","84","2022","함박산7길","202607~202707","갱신","사용","500","80","단독다가구"
"243","경기도 양평군 양평읍 오빈리","9*","8m미만","66.12","전세","202606","28","6,800","0","2007","남산마을길","202606~202807","갱신","-","6,700","0","단독다가구"
"244","경기도 성남시 수정구 양지동","5**","8m미만","61.77","전세","202606","28","34,650","0","1992","산성대로503번길","202607~202807","갱신","-","33,000","0","단독다가구"
"245","서울특별시 구로구 구로동","5**","8m미만","18.00","전세","202606","28","14,000","0","1989","구로중앙로32가길","202606~202806","갱신","-","12,000","0","단독다가구"
"246","서울특별시 마포구 아현동","3**","8m미만","34.00","월세","202606","28","2,000","73","1942","신촌로30길","202607~202807","갱신","-","2,000","70","단독다가구"
"247","서울특별시 관악구 신림동","7**","12m미만","54.07","전세","202606","27","13,000","0","1991","문성로16가길","202608~202808","갱신","-","12,000","0","단독다가구"
"248","경기도 하남시 망월동","1***","12m미만","70.00","전세","202606","27","34,600","0","2016","미사강변북로30번안길","202607~202807","갱신","-","33,000","0","단독다가구"
"249","경기도 성남시 분당구 이매동","3**","8m미만","75.56","전세","202606","27","42,000","0","2003","이매로124번길","202607~202807","갱신","-","40,000","0","단독다가구"
"250","경기도 하남시 덕풍동","3**","8m미만","52.08","전세","202606","27","11,000","0","1982","수리북로27번길","202606~202811","갱신","-","10,000","0","단독다가구"
"251","서울특별시 강서구 공항동","1***","12m미만","45.00","전세","202606","27","8,925","0","1998","방화대로6가길","202607~202807","갱신","사용","8,500","0","단독다가구"
"252","강원특별자치도 원주시 반곡동","1***","12m미만","35.00","월세","202606","27","500","50","2016","봄마중길","202607~202801","갱신","사용","500","50","단독다가구"
"253","경기도 평택시 진위면 청호리","3**","25m미만","20.00","월세","202606","27","500","45","2018","진위산단로","202608~202708","갱신","-","200","45","단독다가구"
"254","경기도 화성시 만세구 향남읍 발안리","2**","12m미만","20.00","월세","202606","27","300","33","2006","발안남로15번길","202606~202703","갱신","-","300","30","단독다가구"
"255","경기도 화성시 만세구 팔탄면 구장리","8**","8m미만","43.45","월세","202606","27","500","45","2008","마당바위로","202606~202706","갱신","-","500","42","단독다가구"
"256","서울특별시 광진구 자양동","2**","8m미만","37.00","전세","202606","27","21,000","0","2016","아차산로40길","202608~202808","갱신","사용","21,000","0","단독다가구"
"257","경기도 평택시 동삭동","7**","12m미만","60.00","월세","202606","27","100","90","","서재로","202607~202610","갱신","-","100","80","단독다가구"
"258","경기도 평택시 동삭동","7**","12m미만","60.00","월세","202606","27","100","90","2014","서재4길","202607~202610","갱신","-","100","80","단독다가구"
"259","대구광역시 동구 효목동","6*","8m미만","40.00","전세","202606","27","3,000","0","1995","아양로42길","202606~202806","갱신","-","3,000","0","단독다가구"
"260","경기도 고양시 덕양구 삼송동","2**","25m미만","62.40","월세","202606","27","15,000","8","2016","세솔로","202608~202808","갱신","-","15,000","5","단독다가구"
"261","서울특별시 마포구 서교동","3**","8m미만","25.00","월세","202606","27","5,000","38","1997","양화로10길","202608~202808","갱신","-","5,000","33","단독다가구"
"262","서울특별시 강동구 암사동","4**","8m미만","30.00","전세","202606","27","4,000","0","1986","구천면로57길","202607~202807","갱신","-","500","40","단독다가구"
"263","서울특별시 강남구 도곡동","9**","12m미만","23.51","월세","202606","27","1,000","61","2018","남부순환로359길","202607~202707","갱신","-","1,000","60","단독다가구"
"264","강원특별자치도 춘천시 퇴계동","9**","12m미만","26.40","월세","202606","27","300","30","2004","퇴계로146번길","202606~202806","갱신","-","200","27","단독다가구"
"265","경기도 수원시 권선구 서둔동","2*","8m미만","29.75","전세","202606","27","10,000","0","2020","세화로","202608~202808","갱신","-","9,450","0","단독다가구"
"266","서울특별시 중랑구 상봉동","2**","8m미만","33.06","전세","202606","27","18,000","0","1968","상봉중앙로3길","202608~202808","갱신","사용","17,500","0","단독다가구"
"267","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","39.00","월세","202606","27","500","60","2021","봉산2길","202606~202806","갱신","-","500","55","단독다가구"
"268","경기도 용인시 기흥구 보정동","1***","12m미만","50.00","월세","202606","27","15,000","30","2008","죽전로15번길","202606~202806","갱신","사용","15,000","30","단독다가구"
"269","충청북도 청주시 청원구 오창읍 양청리","7**","25m미만","100.00","월세","202606","27","1,500","60","2012","양청택지로","202606~202806","갱신","-","1,500","67","단독다가구"
"270","경기도 성남시 중원구 도촌동","6**","12m미만","25.70","월세","202606","27","1,000","45","2011","도촌로","202608~202708","갱신","-","1,000","45","단독다가구"
"271","서울특별시 은평구 신사동","2**","8m미만","40.00","월세","202606","27","10,500","30","1993","가좌로11가길","202607~202807","갱신","-","10,500","15","단독다가구"
"272","서울특별시 강남구 대치동","9**","8m미만","40.00","월세","202606","27","100","92","1995","삼성로61길","202607~202707","갱신","-","1,000","88","단독다가구"
"273","서울특별시 중구 신당동","2**","8m미만","39.00","월세","202606","27","1,000","85","1991","다산로29길","202608~202708","갱신","사용","1,000","80","단독다가구"
"274","서울특별시 영등포구 대림동","7**","12m미만","59.94","월세","202606","27","20,000","4","1988","대림로41길","202608~202808","갱신","사용","20,000","0","단독다가구"
"275","서울특별시 강남구 대치동","9**","8m미만","39.60","전세","202606","27","12,000","0","1995","삼성로63길","202607~202807","갱신","-","11,500","0","단독다가구"
"276","대전광역시 서구 도안동","2***","12m미만","90.00","월세","202606","27","2,000","95","2022","용소로60번길","202606~202706","갱신","-","5,000","80","단독다가구"
"277","경기도 부천시 오정구 작동","3**","12m미만","38.00","월세","202606","27","5,000","45","2011","까치로54번길","202606~202806","갱신","-","3,000","60","단독다가구"
"278","서울특별시 용산구 보광동","2**","8m미만","60.00","월세","202606","27","13,650","6","1996","보광로31길","202607~202807","갱신","-","13,650","3","단독다가구"
"279","서울특별시 용산구 후암동","1**","8m미만","76.82","전세","202606","27","21,000","0","1961","후암로25길","202608~202808","갱신","사용","20,000","0","단독다가구"
"280","서울특별시 광진구 중곡동","9*","25m미만","33.19","월세","202606","27","1,000","51","1975","영화사로","202609~202809","갱신","-","1,000","43","단독다가구"
"281","전남광주통합특별시 광산구 수완동","1***","12m미만","31.03","월세","202606","27","500","50","","수완로74번길","202607~202706","갱신","사용","500","50","단독다가구"
"282","서울특별시 은평구 응암동","1**","8m미만","52.00","월세","202606","27","12,000","35","1994","은평로12길","202606~202806","갱신","사용","12,000","30","단독다가구"
"283","경기도 하남시 망월동","8**","25m미만","60.00","전세","202606","27","31,500","0","2016","미사강변한강로158번길","202606~202806","갱신","-","30,000","0","단독다가구"
"284","경기도 과천시 문원동","1**","8m미만","64.41","월세","202606","27","25,000","5","2018","문원청계7길","202607~202807","갱신","사용","25,000","0","단독다가구"
"285","서울특별시 성동구 행당동","2**","8m미만","30.00","월세","202606","27","700","42","1988","행당로15길","202607~202807","갱신","사용","700","40","단독다가구"
"286","경기도 하남시 신장동","4**","8m미만","90.00","전세","202606","27","17,000","0","1991","하남대로801번길","202606~202806","갱신","-","15,000","0","단독다가구"
"287","전남광주통합특별시 서구 쌍촌동","1***","12m미만","40.00","전세","202606","27","4,000","0","","상무민주로123번길","202606~202806","갱신","-","4,000","0","단독다가구"
"288","인천광역시 영종구 운서동","2***","12m미만","42.00","전세","202606","27","6,800","0","","운서2로55번길","202609~202809","갱신","사용","6,800","0","단독다가구"
"289","인천광역시 영종구 중산동","1***","8m미만","54.09","월세","202606","27","1,000","80","","중산로","202606~202807","갱신","-","1,000","70","단독다가구"
"290","서울특별시 관악구 신림동","6**","8m미만","62.96","전세","202606","27","13,500","0","1977","난곡로","202607~202807","갱신","-","12,500","0","단독다가구"
"291","경기도 하남시 덕풍동","3**","8m미만","52.08","전세","202606","27","11,000","0","1982","수리북로27번길","202606~202811","갱신","-","10,000","0","단독다가구"
"292","경기도 과천시 문원동","1*","12m미만","66.00","월세","202606","27","30,000","6","2008","공원마을길","202610~202810","갱신","사용","30,000","0","단독다가구"
"293","서울특별시 양천구 신정동","9**","8m미만","63.39","전세","202606","27","15,700","0","1995","오목로40길","202607~202807","갱신","사용","15,000","0","단독다가구"
"294","서울특별시 광진구 중곡동","1**","8m미만","49.00","월세","202606","27","7,000","80","2011","천호대로119길","202607~202807","갱신","-","12,000","30","단독다가구"
"295","경기도 광주시 곤지암읍 삼리","1**","8m미만","30.88","전세","202606","27","9,700","0","2017","평촌길11번길","202607~202806","갱신","-","9,300","0","단독다가구"
"296","서울특별시 은평구 역촌동","1*","8m미만","38.48","월세","202606","27","6,000","40","1969","연서로8길","202607~202807","갱신","-","6,000","35","단독다가구"
"297","서울특별시 광진구 구의동","5*","8m미만","58.81","전세","202606","27","19,000","0","1975","자양로","202607~202807","갱신","-","19,000","0","단독다가구"
"298","경기도 김포시 마산동","6**","12m미만","117.57","전세","202606","27","17,000","0","2020","김포한강8로148번길","202606~203006","갱신","-","18,000","0","단독다가구"
"299","서울특별시 은평구 불광동","2**","8m미만","19.83","월세","202606","27","500","45","","통일로72길","202607~202807","갱신","-","500","40","단독다가구"
"300","경기도 남양주시 별내동","1***","12m미만","58.00","전세","202606","27","20,000","0","2012","별내5로5번길","202608~202808","갱신","-","18,000","0","단독다가구"
"301","서울특별시 구로구 구로동","4**","12m미만","35.00","월세","202606","27","2,000","40","2007","구로동로50길","202606~202806","갱신","-","9,000","0","단독다가구"
"302","경기도 용인시 수지구 풍덕천동","1***","12m미만","40.00","월세","202606","27","6,000","7","2002","포은대로362번길","202607~202807","갱신","-","6,000","7","단독다가구"
"303","서울특별시 동작구 사당동","2**","8m미만","195.66","월세","202606","27","5,900","1","1990","사당로16다길","202607~202707","갱신","-","5,900","0","단독다가구"
"304","경기도 과천시 과천동","3**","8m미만","78.65","전세","202606","27","47,250","0","2017","뒷골2로","202608~202808","갱신","사용","45,000","0","단독다가구"
"305","경기도 안산시 단원구 선부동","1***","12m미만","30.00","월세","202606","27","300","30","2001","선삼로2길","202606~202806","갱신","사용","300","34","단독다가구"
"306","서울특별시 금천구 독산동","9**","8m미만","48.00","월세","202606","27","6,500","35","1997","남부순환로130길","202607~202707","갱신","-","11,000","0","단독다가구"
"307","경기도 용인시 기흥구 영덕동","1***","12m미만","60.00","월세","202606","27","15,750","20","2014","흥덕4로16번길","202607~202807","갱신","사용","15,750","10","단독다가구"
"308","서울특별시 강동구 암사동","4**","8m미만","24.89","전세","202606","27","11,000","0","2011","고덕로14길","202606~202806","갱신","-","11,000","0","단독다가구"
"309","서울특별시 영등포구 대림동","8**","8m미만","40.00","월세","202606","27","1,000","50","1990","디지털로73길","202606~202806","갱신","-","13,000","0","단독다가구"
"310","경기도 성남시 수정구 복정동","6**","12m미만","30.00","전세","202606","27","6,000","0","2005","복정로158번길","202606~202806","갱신","-","5,000","0","단독다가구"
"311","서울특별시 광진구 중곡동","1**","8m미만","78.12","전세","202606","27","31,500","0","1990","천호대로127길","202606~202806","갱신","-","30,000","0","단독다가구"
"312","서울특별시 용산구 청파동1가","9*","8m미만","49.20","전세","202606","27","17,000","0","1996","효창원로86라길","202606~202806","갱신","-","14,500","0","단독다가구"
"313","서울특별시 강동구 길동","3**","8m미만","46.20","월세","202606","27","3,000","75","2003","양재대로115길","202607~202807","갱신","-","2,000","70","단독다가구"
"314","서울특별시 용산구 한남동","4**","8m미만","234.18","월세","202606","27","20,000","900","1985","한남대로8길","202606~202806","갱신","-","10,000","900","단독다가구"
"315","서울특별시 중랑구 면목동","1**","12m미만","41.00","전세","202606","27","12,000","0","2001","동일로101길","202606~202806","갱신","-","9,500","0","단독다가구"
"316","서울특별시 강동구 암사동","2**","8m미만","197.88","전세","202606","27","110,000","0","1996","아리수로25길","202606~202906","갱신","-","105,000","0","단독다가구"
"317","서울특별시 중랑구 묵동","2**","8m미만","30.53","월세","202606","27","5,500","40","2014","중랑천로56길","202609~202809","갱신","사용","5,500","40","단독다가구"
"318","서울특별시 성동구 도선동","3**","12m미만","58.01","전세","202606","27","39,200","0","2020","무학로6길","202606~202806","갱신","-","37,400","0","단독다가구"
"319","경기도 남양주시 별내동","1***","25m미만","67.01","전세","202606","27","24,000","0","2018","식송2로","202608~202807","갱신","사용","24,000","0","단독다가구"
"320","인천광역시 계양구 계산동","9**","12m미만","43.30","월세","202606","27","1,000","25","1989","계수로5번길","202606~202806","갱신","-","1,000","25","단독다가구"
"321","서울특별시 송파구 삼전동","1**","8m미만","40.00","월세","202606","27","9,000","48","1996","백제고분로31길","202607~202806","갱신","-","9,000","40","단독다가구"
"322","서울특별시 영등포구 당산동3가","6*","12m미만","71.78","월세","202606","27","10,000","55","1988","양산로23길","202607~202806","갱신","사용","10,000","50","단독다가구"
"323","경기도 평택시 고덕동","2***","12m미만","51.42","월세","202606","26","500","100","2019","고덕여염6길","202606~202706","갱신","-","500","80","단독다가구"
"324","서울특별시 송파구 삼전동","2*","8m미만","43.00","월세","202606","26","10,000","54","2002","삼학사로19길","202607~202807","갱신","사용","10,000","50","단독다가구"
"325","대전광역시 유성구 신성동","1**","12m미만","23.10","월세","202606","26","350","35","2002","신성로61번안길","202607~202707","갱신","-","350","35","단독다가구"
"326","서울특별시 중랑구 면목동","6**","8m미만","97.00","전세","202606","26","27,000","0","2001","사가정로46길","202606~202806","갱신","사용","27,000","0","단독다가구"
"327","서울특별시 은평구 불광동","4**","8m미만","54.57","전세","202606","26","3,500","0","","통일로90길","202606~202806","갱신","-","3,500","0","단독다가구"
"328","서울특별시 광진구 중곡동","6**","8m미만","33.00","월세","202606","26","10,000","35","1992","능동로39길","202606~202806","갱신","-","10,000","30","단독다가구"
"329","경기도 화성시 효행구 정남면 백리","2*","8m미만","24.57","월세","202606","26","0","32","2007","시청로","202607~202807","갱신","사용","0","31","단독다가구"
"330","서울특별시 광진구 구의동","2*","8m미만","60.00","월세","202606","26","29,000","5","2015","천호대로129길","202607~202807","갱신","-","29,000","0","단독다가구"
"331","인천광역시 영종구 운서동","2***","12m미만","20.00","월세","202606","26","300","33","","넙디로66번길","202606~202705","갱신","-","300","33","단독다가구"
"332","경기도 이천시 마장면 오천리","4**","12m미만","48.35","월세","202606","26","3,000","80","2022","마장로91번길","202607~202707","갱신","-","3,000","80","단독다가구"
"333","경기도 수원시 팔달구 지동","2**","12m미만","40.00","월세","202606","26","1,000","30","1997","세지로331번길","202607~202807","갱신","-","1,000","30","단독다가구"
"334","서울특별시 종로구 종로6가","2**","8m미만","59.88","전세","202606","26","11,500","0","1996","율곡로","202608~202808","갱신","사용","11,000","0","단독다가구"
"335","충청북도 청주시 청원구 오창읍 양청리","7**","25m이상","60.00","전세","202606","26","8,500","0","2010","오창공원로","202608~202807","갱신","-","8,500","0","단독다가구"
"336","서울특별시 강북구 미아동","7*","8m미만","15.00","월세","202606","26","10,000","5","2015","오패산로35길","202608~202808","갱신","사용","10,000","0","단독다가구"
"337","경기도 고양시 덕양구 삼송동","3**","12m미만","82.00","전세","202606","26","26,000","0","2018","삼원로3길","202608~202808","갱신","-","25,000","0","단독다가구"
"338","서울특별시 영등포구 신길동","3**","8m미만","55.36","전세","202606","26","14,330","0","1995","도림로104길","202609~202809","갱신","사용","13,650","0","단독다가구"
"339","경상북도 구미시 상모동","2*","12m미만","50.00","월세","202606","26","1,300","50","2006","상모로4길","202607~202807","갱신","-","1,000","60","단독다가구"
"340","서울특별시 양천구 목동","5**","8m미만","35.00","전세","202606","26","4,200","0","1991","목동중앙북로20길","202606~202806","갱신","-","4,000","0","단독다가구"
"341","서울특별시 강북구 미아동","1**","25m미만","25.00","월세","202606","26","500","44","1998","솔매로","202606~202806","갱신","-","500","40","단독다가구"
"342","경기도 평택시 고덕동","2***","25m미만","74.30","월세","202606","26","500","241","2021","고덕여염10길","202608~202708","갱신","-","500","141","단독다가구"
"343","서울특별시 서초구 방배동","8**","12m미만","60.32","월세","202606","26","3,000","80","2003","방배로27길","202607~202807","갱신","-","2,000","70","단독다가구"
"344","경기도 평택시 고덕동","2***","12m미만","37.33","월세","202606","26","500","110","2019","고덕여염11길","202608~202708","갱신","-","500","75","단독다가구"
"345","서울특별시 구로구 구로동","1**","8m미만","40.00","전세","202606","26","15,000","0","","구로중앙로2길","202606~202806","갱신","-","9,000","25","단독다가구"
"346","인천광역시 영종구 운서동","2***","12m미만","31.50","월세","202606","26","500","48","2019","운서2로64번길","202606~202706","갱신","-","7,000","0","단독다가구"
"347","경기도 성남시 수정구 복정동","6**","12m미만","25.00","월세","202606","26","1,000","60","2001","복정로84번길","202606~202806","갱신","사용","1,000","60","단독다가구"
"348","서울특별시 강서구 화곡동","8**","12m미만","61.00","월세","202606","26","5,000","50","1982","곰달래로31가길","202607~202807","갱신","-","5,000","45","단독다가구"
"349","인천광역시 남동구 서창동","5**","12m미만","73.18","전세","202606","26","14,000","0","2010","장아산로218번길","202608~202808","갱신","-","13,000","0","단독다가구"
"350","경기도 수원시 영통구 신동","9**","25m미만","56.10","전세","202606","26","20,000","0","","권선로882번길","202607~202811","갱신","-","20,000","0","단독다가구"
"351","충청남도 천안시 동남구 병천면 가전리","1**","8m미만","52.89","월세","202606","26","50","50","2002","가전7길","202607~202612","갱신","사용","50","50","단독다가구"
"352","경기도 용인시 기흥구 영덕동","1***","12m미만","55.35","전세","202606","26","15,750","0","2012","흥덕2로65번길","202607~202807","갱신","사용","15,000","0","단독다가구"
"353","서울특별시 중랑구 면목동","4**","8m미만","35.00","월세","202606","26","3,000","40","1992","면목로48길","202606~202706","갱신","-","3,000","30","단독다가구"
"354","서울특별시 중랑구 중화동","2**","8m미만","40.00","월세","202606","26","5,000","35","1997","동일로123길","202608~202808","갱신","사용","5,000","30","단독다가구"
"355","대전광역시 대덕구 중리동","2**","12m미만","45.00","월세","202606","26","2,000","64","2016","계족로505번길","202607~202707","갱신","-","2,000","64","단독다가구"
"356","경기도 화성시 동탄구 반송동","1**","12m미만","60.00","전세","202606","26","14,500","0","","노작로4길","202606~202806","갱신","사용","15,000","0","단독다가구"
"357","경기도 수원시 장안구 영화동","4**","12m미만","39.00","월세","202606","26","500","49","2010","팔달로199번길","202607~202806","갱신","-","500","47","단독다가구"
"358","서울특별시 광진구 중곡동","1**","8m미만","66.84","전세","202606","26","23,000","0","1973","능동로","202606~202806","갱신","-","22,000","0","단독다가구"
"359","경기도 고양시 덕양구 신원동","6**","12m미만","55.00","월세","202606","26","12,000","35","2015","신원로1길","202607~202807","갱신","-","3,000","70","단독다가구"
"360","경기도 수원시 영통구 이의동","1***","12m미만","38.45","전세","202606","26","20,000","0","2017","센트럴파크로128번길","202607~202707","갱신","-","19,800","0","단독다가구"
"361","경기도 성남시 수정구 태평동","5***","8m미만","20.00","월세","202606","26","500","25","1992","남문로23번길","202606~202806","갱신","-","500","25","단독다가구"
"362","경기도 하남시 신장동","4**","8m미만","60.00","전세","202606","26","14,000","0","1991","하남대로801번길","202608~202808","갱신","-","12,000","0","단독다가구"
"363","서울특별시 강동구 고덕동","1**","25m이상","45.14","월세","202606","26","9,450","21","1986","아리수로","202608~202807","갱신","사용","9,450","21","단독다가구"
"364","서울특별시 송파구 거여동","1**","12m미만","44.58","월세","202606","26","7,000","25","1995","오금로53길","202607~202807","갱신","사용","7,000","15","단독다가구"
"365","경기도 하남시 신장동","3**","8m미만","49.92","전세","202606","26","18,900","0","1988","하남대로784번길","202610~202810","갱신","사용","18,000","0","단독다가구"
"366","대전광역시 서구 갈마동","1***","8m미만","37.40","월세","202606","26","9,000","7","1997","대덕대로","202609~202809","갱신","-","9,000","3","단독다가구"
"367","서울특별시 구로구 가리봉동","1**","8m미만","16.00","월세","202606","26","12,000","13","2020","디지털로19길","202606~202806","갱신","-","12,000","13","단독다가구"
"368","경기도 성남시 수정구 창곡동","5**","12m미만","45.00","전세","202606","26","27,600","0","2015","위례서일로3길","202606~202612","갱신","-","27,600","0","단독다가구"
"369","서울특별시 은평구 역촌동","3*","8m미만","40.00","월세","202606","26","1,000","43","1997","연서로","202606~202806","갱신","-","1,000","35","단독다가구"
"370","서울특별시 중랑구 면목동","3**","12m미만","33.88","월세","202606","26","500","35","1991","답십리로75길","202607~202807","갱신","-","500","35","단독다가구"
"371","경기도 평택시 고덕동","2***","12m미만","39.95","월세","202606","26","500","130","2023","함박산2길","202607~202706","갱신","-","500","85","단독다가구"
"372","서울특별시 중구 신당동","5*","8m미만","39.58","전세","202606","26","17,640","0","1993","다산로38길","202607~202807","갱신","-","16,800","0","단독다가구"
"373","경기도 수원시 영통구 매탄동","1***","25m미만","30.00","전세","202606","26","3,500","0","2002","매탄로79번길","202607~202807","갱신","-","3,500","0","단독다가구"
"374","서울특별시 강동구 상일동","3**","8m미만","79.20","전세","202606","26","18,000","0","1987","천호대로219가길","202606~202806","갱신","-","18,000","0","단독다가구"
"375","전북특별자치도 부안군 부안읍 동중리","1**","8m미만","66.00","전세","202606","26","6,000","0","2018","동중길","202607~202807","갱신","-","5,500","0","단독다가구"
"376","경기도 부천시 원미구 상동","4**","12m미만","50.22","전세","202606","26","9,000","0","2020","상일로149번길","202607~202806","갱신","-","10,000","0","단독다가구"
"377","서울특별시 강북구 번동","4**","8m미만","66.26","월세","202606","26","7,000","33","1994","덕릉로40나길","202606~202806","갱신","사용","7,000","30","단독다가구"
"378","서울특별시 은평구 불광동","4**","8m미만","49.21","전세","202606","26","1,000","0","1992","연서로41가길","202606~202806","갱신","-","11,000","0","단독다가구"
"379","경기도 화성시 병점구 진안동","4**","12m미만","21.12","월세","202606","26","1,000","47","2019","병점중앙로211번길","202607~202707","갱신","-","1,000","48","단독다가구"
"380","서울특별시 은평구 응암동","1**","8m미만","40.00","전세","202606","26","8,500","0","1995","응암로34나길","202606~202806","갱신","-","7,500","0","단독다가구"
"381","충청남도 당진시 송악읍 복운리","1***","12m미만","27.00","전세","202606","26","2,500","0","2006","신복운로5길","202606~202806","갱신","-","3,500","0","단독다가구"
"382","충청북도 청주시 흥덕구 봉명동","9**","8m미만","70.00","전세","202606","26","13,000","0","1986","봉명로177번길","202607~202610","갱신","-","13,000","0","단독다가구"
"383","경상남도 창원시 진해구 자은동","9**","8m미만","24.30","월세","202606","26","2,010","8","2019","자은로28번길","202607~202806","갱신","-","200","15","단독다가구"
"384","서울특별시 강동구 둔촌동","4**","8m미만","40.00","전세","202606","26","8,000","0","1988","천호대로182길","202607~202807","갱신","-","8,000","0","단독다가구"
"385","경기도 군포시 산본동","9*","8m미만","30.00","전세","202606","26","4,000","0","2002","군포로767번길","202607~202806","갱신","-","3,500","0","단독다가구"
"386","경기도 여주시 홍문동","1*","25m미만","66.00","월세","202606","26","100","50","1994","청심로","202606~202706","갱신","-","100","50","단독다가구"
"387","경기도 김포시 고촌읍 신곡리","1***","25m미만","39.60","전세","202606","26","10,000","0","2008","은행영사정로23번길","202607~202807","갱신","-","9,000","0","단독다가구"
"388","서울특별시 성동구 행당동","3**","8m미만","55.00","전세","202606","26","19,000","0","1998","행당로13길","202606~202806","갱신","-","18,000","0","단독다가구"
"389","경기도 성남시 수정구 신촌동","2**","12m미만","84.10","월세","202606","26","18,500","20","2004","신촌로","202606~202806","갱신","-","18,500","0","단독다가구"
"390","서울특별시 양천구 신정동","9**","8m미만","35.00","월세","202606","26","2,700","70","2017","은행정로17길","202606~202806","갱신","-","2,700","60","단독다가구"
"391","서울특별시 동작구 사당동","3**","12m미만","24.41","전세","202606","26","15,000","0","2020","사당로20길","202607~202807","갱신","-","16,000","0","단독다가구"
"392","경기도 화성시 동탄구 반송동","3*","25m미만","50.00","전세","202606","26","17,000","0","2017","동탄반송길","202606~202806","갱신","-","16,000","0","단독다가구"
"393","경기도 용인시 기흥구 보정동","1***","12m미만","45.00","전세","202606","26","31,000","0","2006","죽전로15번길","202608~202808","갱신","-","30,000","0","단독다가구"
"394","서울특별시 중랑구 망우동","3**","8m미만","53.70","월세","202606","26","15,000","28","1996","용마산로114길","202607~202807","갱신","-","15,000","20","단독다가구"
"395","경기도 성남시 수정구 태평동","7***","8m미만","57.17","전세","202606","26","20,000","0","1994","모란로133번길","202606~202806","갱신","-","13,000","0","단독다가구"
"396","경기도 화성시 만세구 남양읍 남양리","6**","8m미만","96.66","전세","202606","26","36,750","0","2022","한가울길260번길","202606~202806","갱신","사용","35,000","0","단독다가구"
"397","전북특별자치도 무주군 무주읍 읍내리","6**","8m미만","33.25","전세","202606","26","9,000","0","2021","한수로2길","202607~202807","갱신","-","9,000","0","단독다가구"
"398","충청남도 서산시 읍내동","7**","12m미만","36.90","전세","202606","26","4,600","0","2011","성암1로","202607~202807","갱신","-","4,600","0","단독다가구"
"399","경기도 용인시 처인구 김량장동","2**","12m미만","53.22","전세","202606","26","9,000","0","2014","학산로","202608~202808","갱신","-","8,000","0","단독다가구"
"400","서울특별시 중구 신당동","5*","8m미만","39.58","전세","202606","26","17,740","0","1993","다산로38길","202608~202808","갱신","사용","16,900","0","단독다가구"
"401","대구광역시 동구 불로동","1***","12m미만","164.01","전세","202606","26","5,000","0","1989","방천로6길","202607~202807","갱신","-","5,000","0","단독다가구"
"402","서울특별시 마포구 신수동","3**","12m미만","20.40","월세","202606","26","8,000","22","2017","토정로15길","202608~202808","갱신","-","8,000","20","단독다가구"
"403","경기도 하남시 망월동","1***","25m미만","67.00","전세","202606","26","29,400","0","2016","미사강변북로30번길","202607~202807","갱신","사용","28,000","0","단독다가구"
"404","서울특별시 서초구 방배동","7**","8m미만","40.65","월세","202606","26","800","44","1996","동광로1길","202608~202808","갱신","사용","800","42","단독다가구"
"405","서울특별시 강남구 율현동","4**","25m미만","88.44","전세","202606","26","65,000","0","","밤고개로27길","202607~202807","갱신","-","65,000","0","단독다가구"
"406","서울특별시 서초구 방배동","9**","8m미만","75.07","전세","202606","26","55,000","0","2022","효령로27길","202607~202612","갱신","-","55,000","0","단독다가구"
